				VX [mV]          	eVX [mV]          	VY [mV]           	eVY [mV]       
1p5V modulateFDDL bg	FTT1FC	0.7303865000053553	0.000010000100001	0.6547522168691087	0.000010000100001
1p5V modulateFDDL   	FTT1FC	-0.02508063267614325	0.000010000100001	1.0361569620822344	0.000010000100001
1p5V noPS bgMode    	FTT1FC	0.5755014409967177	0.08634222726449829	0.5190539478302589	0.08805449741070918
1p5V noPS           	FTT1FC	0.3570673077784377	0.08740642614784497	0.5927775347330932	0.08716544128275082
3p6V modulateFDDL bg	FTT1FC	1.130831758255971	0.000010000100001	0.5418669977468366	0.000010000100001
3p6V modulateFDDL   	FTT1FC	0.46006404232830234	0.000010000100001	0.5709851789214934	0.000010000100001
3p6V noPS bgMode    	FTT1FC	0.7943796457665413	0.09025121965528035	0.6757351586145974	0.09105155079233007
3p6V noPS           	FTT1FC	0.2954629593647678	0.09066702025400152	0.6487398462432924	0.09019356649417588
3V laserOff bgMode  	FTT1FC	0.2937477939403893	0.03043811625408488	0.6718093735924174	0.030242493038588836
3V laserOff         	FTT1FC	0.43319523175984653	0.030278186051926354	0.6213895674073232	0.030905805730553595
3V modulateFDDL bgMo	FTT1FC	0.7889483626659894	0.000010000100001	0.5818725161884607	0.000010000100001
3V modulateFDDL     	FTT1FC	0.3263600077188366	0.000010000100001	0.6043411465164975	0.000010000100001
3V noPS bgMode      	FTT1FC	0.16350996163324652	0.08746799884491106	0.47479917657634463	0.08823473163862901
3V noPS             	FTT1FC	0.5557854002754689	0.08352048643526544	0.62744157947168	0.08415801905993739
brightfddlmodulated 	FTT1FC	0.4748548141100565	0.000010000100001	0.9755275197983839	0.000010000100001
brightphaseshifterof	FTT1FC	0.3823141483447203	0.0785669843194049	0.5752936582238534	0.07847824720262504
laseroff            	FTT1FC	0.4832033248845621	0.04098204174064501	0.4803126965012341	0.0398016011129222
nominalfddlmodulated	FTT1FC	0.9415208390658373	0.000010000100001	0.7769787765260489	0.000010000100001
nominalphaseshiftero	FTT1FC	0.4454711053916823	0.08204097888333907	0.5572384542492824	0.08163726934448642
 	 	 	 	 	 
avg                 	FTT1FC	0.5056591585058203	0.04147587824480052	0.6414248583206548	0.041579117047774554
 	 	 	 	 	 
 	 	 	 	 	 
1p5V modulateFDDL bg	FTT1D1	-3.8767999117044067	0.000010000100001	-5.284661974409832	0.000010000100001
1p5V modulateFDDL   	FTT1D1	-4.014400395963548	0.000010000100001	-5.173440115018651	0.000010000100001
1p5V noPS bgMode    	FTT1D1	-3.690786675409484	0.12582850294511003	-5.489150639693989	0.12836714844663655
1p5V noPS           	FTT1D1	-3.8577895110272897	0.12430382726394898	-5.180808678561309	0.1252861036998054
3p6V modulateFDDL bg	FTT1D1	-3.749729893172813	0.000010000100001	-5.597454347860761	0.000010000100001
3p6V modulateFDDL   	FTT1D1	-3.307114101557222	0.000010000100001	-5.8405527590980695	0.000010000100001
3p6V noPS bgMode    	FTT1D1	-3.5230937048112745	0.12402245106276656	-5.212523071696823	0.1264422375823833
3p6V noPS           	FTT1D1	-4.075776371173118	0.12545558657513692	-5.430966179708081	0.12660587292476264
3V laserOff bgMode  	FTT1D1	-3.8438088584193286	0.10296860702971368	-5.343991455592143	0.10597119905570773
3V laserOff         	FTT1D1	-3.8696247318047967	0.10438798196693254	-5.107206832181348	0.10569695264367572
3V modulateFDDL bgMo	FTT1D1	-4.7072733534567135	0.000010000100001	-4.430887612353242	0.000010000100001
3V modulateFDDL     	FTT1D1	-3.8397538712609207	0.000010000100001	-5.94002762945527	0.000010000100001
3V noPS bgMode      	FTT1D1	-4.275167106217049	0.1238331238811047	-5.405429137108528	0.12705392527160897
3V noPS             	FTT1D1	-3.822452835406423	0.1245780659013175	-5.193061127115411	0.12658048733223992
brightfddlmodulated 	FTT1D1	-3.865200772442771	0.000010000100001	-5.5560059816331755	0.000010000100001
brightphaseshifterof	FTT1D1	-4.134053233655215	0.16722904839402175	-5.754681218635522	0.16843573227530304
laseroff            	FTT1D1	-4.0684857733261754	0.10280154970105003	-5.818848017651573	0.10549725491398117
nominalfddlmodulated	FTT1D1	-3.3662630597004	0.000010000100001	-5.396210409807421	0.000010000100001
nominalphaseshiftero	FTT1D1	-4.625985677947809	0.17882483181151568	-4.976097986463444	0.18072717834782262
 	 	 	 	 	 
avg                 	FTT1D1	-3.9217663072871978	0.07391124091224349	-5.375368693370768	0.07509179438389131
 	 	 	 	 	 
 	 	 	 	 	 
1p5V modulateFDDL bg	FTT1D2	-4.553595394332003	0.000010000100001	-2.266712898072134	0.000010000100001
1p5V modulateFDDL   	FTT1D2	-4.046044721137519	0.000010000100001	-2.8083602387321336	0.000010000100001
1p5V noPS bgMode    	FTT1D2	-4.084199179716572	0.14263823569871203	-2.8324177736612404	0.14042642960319576
1p5V noPS           	FTT1D2	-4.032512616907901	0.1483313784211201	-1.9925470688869316	0.14468375196475117
3p6V modulateFDDL bg	FTT1D2	-3.894249643011186	0.000010000100001	-2.501520717231423	0.000010000100001
3p6V modulateFDDL   	FTT1D2	-4.232048505477633	0.000010000100001	-2.96056412007693	0.000010000100001
3p6V noPS bgMode    	FTT1D2	-3.857388339728487	0.1498385930010453	-2.503016106848359	0.14715322518247478
3p6V noPS           	FTT1D2	-4.357976567311328	0.15765789400859034	-2.0989862068059373	0.15236342100885472
3V laserOff bgMode  	FTT1D2	-3.9623739912852525	0.0977758005656955	-2.5037410075433506	0.09532371530177576
3V laserOff         	FTT1D2	-3.9387790299410974	0.09825134326306188	-2.642527395228425	0.09533615819775842
